date,ticker,actual,forecast
2022-05-13,AMZN,144.97702,140.55719
2022-05-16,AMZN,143.42976,144.94327
2022-05-17,AMZN,147.0761,143.51648
2022-05-18,AMZN,138.7782,146.95177
2022-05-19,AMZN,135.35852,138.91689
2022-05-20,AMZN,135.59502,135.51773
2022-05-23,AMZN,141.03499,135.76137
2022-05-24,AMZN,138.32487,140.96683
2022-05-25,AMZN,138.48257,138.42845
2022-05-26,AMZN,141.6953,138.46751
2022-05-27,AMZN,147.47032,141.39874
2022-05-31,AMZN,146.6819,146.96548
2022-06-01,AMZN,146.5538,146.55977
2022-06-02,AMZN,149.01756,146.40977
2022-06-03,AMZN,143.27211,148.69936
2022-06-06,AMZN,144.02106,143.24522
2022-06-07,AMZN,146.5538,143.88747
2022-06-08,AMZN,145.8147,146.37877
2022-06-09,AMZN,140.57182,145.70126
2022-06-10,AMZN,135.14168,140.58302
2022-06-13,AMZN,129.96783,135.25282
2022-06-14,AMZN,130.83505,130.28685
2022-06-15,AMZN,133.46635,131.03691
2022-06-16,AMZN,128.17421,133.61359
2022-06-17,AMZN,129.65247,128.49028
2022-06-21,AMZN,133.89996,129.5738
2022-06-22,AMZN,133.38753,133.59427
2022-06-23,AMZN,136.2652,133.47102
2022-06-24,AMZN,139.60603,135.87659
2022-06-27,AMZN,139.60603,139.1032
2022-06-28,AMZN,135.44722,139.35559
2022-06-29,AMZN,137.21126,135.53519
2022-06-30,AMZN,134.73764,136.88881
2022-07-01,AMZN,136.91559,134.76903
2022-07-05,AMZN,139.50745,136.71794
2022-07-06,AMZN,140.84776,139.19115
2022-07-07,AMZN,144.22803,140.63612
2022-07-08,AMZN,144.90802,143.73463
2022-07-11,AMZN,142.76947,144.61775
2022-07-12,AMZN,143.74513,142.57362
2022-07-13,AMZN,143.38048,143.57156
2022-07-14,AMZN,146.31728,143.15327
2022-07-15,AMZN,147.99263,146.0483
2022-07-18,AMZN,144.9376,147.73264
2022-07-19,AMZN,148.8106,144.7
2022-07-20,AMZN,150.82101,148.43102
2022-07-21,AMZN,153.09753,150.50063
2022-07-22,AMZN,151.8558,152.65904
2022-07-25,AMZN,150.73235,151.43779
2022-07-26,AMZN,149.40192,150.32327
2022-07-27,AMZN,154.51663,149.03502
2022-07-28,AMZN,155.06854,153.95616
2022-07-29,AMZN,160.1537,154.65807
2022-08-01,AMZN,159.16823,159.24728
2022-08-02,AMZN,157.68996,158.54144
2022-08-03,AMZN,163.72124,157.27559
2022-08-04,AMZN,163.40587,162.67944
2022-08-05,AMZN,163.1789,162.50017
